138;PRANCHA LIZZE EXTREME SLIM R 220V;url;29987;1
139;MAQUINA DE CORTAR CABELO LIZZE SUPREME S;url;30020;1
140;SECADOR LIZZE EXTREME EXT 127V;url;29856;1
141;PRANCHA LIZZE SUPREME C 220V;url;30027;1
142;PHOTON LIZZE;url;29796;1
143;PRANCHA LIZZE SUPREME C 127V;url;30026;1
144;PRANCHA LIZZE PREMIUM 1 1/4 '' R  220V;url;30025;1
145;MODELADOR LIZZE EXTREME S 220V;url;50056;1
146;PRANCHA LIZZE FT SLIM 250 220V;url;29700;1
147;PRANCHA LIZZE FT SLIM 250 127V;url;29699;1
148;PRANCHA LIZZE EXTREME HOME CARE S 220V;url;30029;1
149;PRANCHA LIZZE FT SLIM 250 220V;url;51;1
150;MODELADOR LIZZE EXTREME S 220V;url;30056;1
151;SECADOR LIZZE SALON PRO 127V 2000W;url;28396;1
152;MODELADOR LIZZE EXTREME R 127V;url;30064;1
153;MODELADOR LIZZE EXTREME R 127V;url;30064;1
154;MODELADOR LIZZE EXTREME R 127V;url;30064;1
155;MODELADOR LIZZE EXTREME S 127V;url;30055;1
